TN_NAME,TN_DESCR,TN_OWNER_TAG,TN_STATE,,AP_NAME,AP_DESCR,AP_MON_POL,AP_STATE,,VRF_NAME,VRF_DESCR,VRF_POL_CONT_PREF,VRF_POL_CONT_DIR,VRF_PREF_GRP,VRF_STATE
MATLAB_TN,MATLAB Tenant,MATLAB,present,,App-1_AP,eCommerce AP,default,present,,MATLAB_VRF,MATLAB_VRF,enforced,ingress,disabled,present
MATLAB_TN,MATLAB Tenant,MATLAB,present,,App-2_AP,Engineering AP,default,present,,MATLAB_VRF,MATLAB_VRF,enforced,ingress,disabled,present
MATLAB_TN,MATLAB Tenant,MATLAB,present,,App-3_AP,Marketing AP,default,present,,MATLAB_VRF,MATLAB_VRF,enforced,ingress,disabled,present
MATLAB2_TN,MATLAB Tenant #2,MATLAB,present,,App-4_AP,Finance_AP,default,present,,MATLAB_VRF,MATLAB_VRF,enforced,ingress,disabled,present
