TENANT,AP,VRF,BD,GATEWAY,EPG,DOMAIN,NODES,Proto_Path,INTERFACES,VLAN,MODE,VPC_LIPG -- Leaf Interface Policy Grp,AEP,MCP_IPO,CDP_IPO,Speed_IPO,LLDP_IPO,LACP_IPO,VPC_LIP,INTF_SELECTOR,FROM_CARD,FROM_PORT,TO_CARD,TO_PORT
MATLAB_TN,MATLAB-1_AP,MATLAB_VRF,MATLAB-1_BD,172.17.17.1/24,MATLAB-1_EPG,MATLAB_PHY_DOM,101,,31,1401,regular,VPC-1_LIPG,MATLAB_AEP,,,,,,,Eth1_31,,,,
MATLAB_TN,MATLAB-1_AP,MATLAB_VRF,MATLAB-1_BD,172.17.17.1/24,MATLAB-1_EPG,MATLAB_PHY_DOM,101,,32,1401,untagged,,MATLAB_AEP,,,,,,,Eth1_32,,,,
MATLAB_TN,MATLAB-1_AP,MATLAB_VRF,MATLAB-1_BD,172.17.17.1/24,MATLAB-1_EPG,MATLAB_PHY_DOM,101,,33,1401,,,MATLAB_AEP,,,,,,,Eth1_33,,,,
MATLAB_TN,MATLAB-1_AP,MATLAB_VRF,MATLAB-2_BD,172.18.18.1/24,MATLAB-2_EPG,MATLAB_PHY_DOM,101,,34,1402,,,MATLAB_AEP,,,,,,,Eth1_34,,,,
MATLAB_TN,MATLAB-1_AP,MATLAB_VRF,MATLAB-2_BD,172.18.18.1/24,MATLAB-2_EPG,MATLAB_PHY_DOM,101,,35,1402,,,MATLAB_AEP,,,,,,,Eth1_35,,,,
MATLAB_TN,MATLAB-1_AP,MATLAB_VRF,MATLAB-2_BD,172.18.18.1/24,MATLAB-2_EPG,MATLAB_PHY_DOM,101,,36,1402,,,MATLAB_AEP,,,,,,,Eth1_36,,,,
