TENANT,AP,VRF,BD,GATEWAY,EPG,DOMAIN,NODES,Proto_Path,INTERFACES,VLAN,MODE
MATLAB_TN,MATLAB-1_AP,MATLAB_VRF,MATLAB-1_BD,172.17.17.1/24,MATLAB-1_EPG,MATLAB_PHY_DOM,101,,31,1401,regular
MATLAB_TN,MATLAB-1_AP,MATLAB_VRF,MATLAB-1_BD,172.17.17.1/24,MATLAB-1_EPG,MATLAB_PHY_DOM,101,,32,1401,untagged
MATLAB_TN,MATLAB-1_AP,MATLAB_VRF,MATLAB-1_BD,172.17.17.1/24,MATLAB-1_EPG,MATLAB_PHY_DOM,101,,33,1401,
MATLAB_TN,MATLAB-1_AP,MATLAB_VRF,MATLAB-2_BD,172.18.18.1/24,MATLAB-2_EPG,MATLAB_PHY_DOM,101,,34,1402,
MATLAB_TN,MATLAB-1_AP,MATLAB_VRF,MATLAB-2_BD,172.18.18.1/24,MATLAB-2_EPG,MATLAB_PHY_DOM,101,,35,1402,
MATLAB_TN,MATLAB-1_AP,MATLAB_VRF,MATLAB-2_BD,172.18.18.1/24,MATLAB-2_EPG,MATLAB_PHY_DOM,101,,36,1402,
